instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
Breast Cancer,1,0,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.0007598400115966797
Breast Cancer,1,0.01,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.0008916854858398438
Breast Cancer,1,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.0008001327514648438
Breast Cancer,2,0,1,0.7753623188405797,0.6231884057971014,0.7428571428571429,0.0010607242584228516
Breast Cancer,2,0.01,1,0.7753623188405797,0.6231884057971014,0.7428571428571429,0.0009219646453857422
Breast Cancer,2,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.0010027885437011719
Breast Cancer,3,0,1,0.8188405797101449,0.6666666666666666,0.7,0.001220703125
Breast Cancer,3,0.01,1,0.8188405797101449,0.6666666666666666,0.7,0.0008380413055419922
Breast Cancer,3,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.0008678436279296875
Breast Cancer,4,0,1,0.8260869565217391,0.6811594202898551,0.7142857142857143,0.0007669925689697266
Breast Cancer,4,0.01,1,0.8188405797101449,0.6666666666666666,0.7,0.0011570453643798828
Breast Cancer,4,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.0010890960693359375
Breast Cancer,1,0,2,0.7463768115942029,0.7101449275362319,0.7428571428571429,0.0005502700805664062
Breast Cancer,1,0.01,2,0.7463768115942029,0.7101449275362319,0.7428571428571429,0.0007989406585693359
Breast Cancer,1,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.0007312297821044922
Breast Cancer,2,0,2,0.7681159420289855,0.7391304347826086,0.7857142857142857,0.0011420249938964844
Breast Cancer,2,0.01,2,0.7681159420289855,0.7391304347826086,0.7857142857142857,0.0006389617919921875
Breast Cancer,2,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.0008151531219482422
Breast Cancer,3,0,2,0.7971014492753623,0.7681159420289855,0.7428571428571429,0.0006048679351806641
Breast Cancer,3,0.01,2,0.782608695652174,0.7536231884057971,0.7428571428571429,0.0007281303405761719
Breast Cancer,3,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.0007040500640869141
Breast Cancer,4,0,2,0.8043478260869565,0.7681159420289855,0.7571428571428571,0.0006821155548095703
Breast Cancer,4,0.01,2,0.782608695652174,0.7536231884057971,0.7428571428571429,0.0011153221130371094
Breast Cancer,4,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.0006968975067138672
Breast Cancer,1,0,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.0008928775787353516
Breast Cancer,1,0.01,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.0008497238159179688
Breast Cancer,1,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.0008161067962646484
Breast Cancer,2,0,3,0.8043478260869565,0.7971014492753623,0.7,0.0008380413055419922
Breast Cancer,2,0.01,3,0.8043478260869565,0.7971014492753623,0.7,0.0006678104400634766
Breast Cancer,2,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.0011219978332519531
Breast Cancer,3,0,3,0.8043478260869565,0.7971014492753623,0.7,0.0006020069122314453
Breast Cancer,3,0.01,3,0.8043478260869565,0.7971014492753623,0.7,0.0011889934539794922
Breast Cancer,3,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.0007588863372802734
Breast Cancer,4,0,3,0.8333333333333334,0.8115942028985508,0.6714285714285714,0.0006859302520751953
Breast Cancer,4,0.01,3,0.8260869565217391,0.8115942028985508,0.6857142857142857,0.0007219314575195312
Breast Cancer,4,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.0007450580596923828
Car Evaluation,1,0,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.0013501644134521484
Car Evaluation,1,0.01,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.00086212158203125
Car Evaluation,1,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.0009639263153076172
Car Evaluation,2,0,1,0.7627314814814815,0.7893518518518519,0.7962962962962963,0.001116037368774414
Car Evaluation,2,0.01,1,0.7627314814814815,0.7893518518518519,0.7962962962962963,0.0011219978332519531
Car Evaluation,2,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.001077890396118164
Car Evaluation,3,0,1,0.7974537037037037,0.7615740740740741,0.8101851851851852,0.0011801719665527344
Car Evaluation,3,0.01,1,0.7974537037037037,0.7615740740740741,0.8101851851851852,0.0011219978332519531
Car Evaluation,3,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.0012459754943847656
Car Evaluation,4,0,1,0.8495370370370371,0.8287037037037037,0.875,0.0009710788726806641
Car Evaluation,4,0.01,1,0.8495370370370371,0.8287037037037037,0.875,0.0011878013610839844
Car Evaluation,4,0.1,1,0.7013888888888888,0.6759259259259259,0.7222222222222222,0.0014519691467285156
Car Evaluation,1,0,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.0010800361633300781
Car Evaluation,1,0.01,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.0007190704345703125
Car Evaluation,1,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.0008831024169921875
Car Evaluation,2,0,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,0.0007529258728027344
Car Evaluation,2,0.01,2,0.7824074074074074,0.7685185185185185,0.7777777777777778,0.0010838508605957031
Car Evaluation,2,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.000827789306640625
Car Evaluation,3,0,2,0.7824074074074074,0.8125,0.7893518518518519,0.0009009838104248047
Car Evaluation,3,0.01,2,0.7824074074074074,0.8125,0.7893518518518519,0.0008630752563476562
Car Evaluation,3,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.0008409023284912109
Car Evaluation,4,0,2,0.8379629629629629,0.8495370370370371,0.8217592592592593,0.0012700557708740234
Car Evaluation,4,0.01,2,0.8379629629629629,0.8495370370370371,0.8217592592592593,0.0008990764617919922
Car Evaluation,4,0.1,2,0.6967592592592593,0.7268518518518519,0.6805555555555556,0.001322031021118164
Car Evaluation,1,0,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0009622573852539062
Car Evaluation,1,0.01,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0011303424835205078
Car Evaluation,1,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0008809566497802734
Car Evaluation,2,0,3,0.7777777777777778,0.7847222222222222,0.7708333333333334,0.0008311271667480469
Car Evaluation,2,0.01,3,0.7777777777777778,0.7847222222222222,0.7708333333333334,0.0008027553558349609
Car Evaluation,2,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0012171268463134766
Car Evaluation,3,0,3,0.8090277777777778,0.8032407407407407,0.7453703703703703,0.0007798671722412109
Car Evaluation,3,0.01,3,0.8090277777777778,0.8032407407407407,0.7453703703703703,0.0008718967437744141
Car Evaluation,3,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0011532306671142578
Car Evaluation,4,0,3,0.8692129629629629,0.8356481481481481,0.8287037037037037,0.0007729530334472656
Car Evaluation,4,0.01,3,0.8692129629629629,0.8356481481481481,0.8287037037037037,0.0008630752563476562
Car Evaluation,4,0.1,3,0.7164351851851852,0.7175925925925926,0.6504629629629629,0.0010209083557128906
Credit Approval,1,0,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0009131431579589844
Credit Approval,1,0.01,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0008130073547363281
Credit Approval,1,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0011332035064697266
Credit Approval,2,0,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0012049674987792969
Credit Approval,2,0.01,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0009279251098632812
Credit Approval,2,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0014719963073730469
Credit Approval,3,0,1,0.8619631901840491,0.8773006134969326,0.8414634146341463,0.0011773109436035156
Credit Approval,3,0.01,1,0.8619631901840491,0.8773006134969326,0.8414634146341463,0.0012080669403076172
Credit Approval,3,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0015621185302734375
Credit Approval,4,0,1,0.9079754601226994,0.8834355828220859,0.8780487804878049,0.0015361309051513672
Credit Approval,4,0.01,1,0.9049079754601227,0.9141104294478528,0.8963414634146342,0.0012578964233398438
Credit Approval,4,0.1,1,0.8588957055214724,0.8650306748466258,0.8719512195121951,0.0012979507446289062
Credit Approval,1,0,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0008537769317626953
Credit Approval,1,0.01,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0015270709991455078
Credit Approval,1,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0009407997131347656
Credit Approval,2,0,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0009469985961914062
Credit Approval,2,0.01,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0015358924865722656
Credit Approval,2,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0016508102416992188
Credit Approval,3,0,2,0.9233128834355828,0.9141104294478528,0.8597560975609756,0.0010406970977783203
Credit Approval,3,0.01,2,0.9233128834355828,0.9141104294478528,0.8597560975609756,0.0013108253479003906
Credit Approval,3,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0015990734100341797
Credit Approval,4,0,2,0.9233128834355828,0.9141104294478528,0.8597560975609756,0.0014472007751464844
Credit Approval,4,0.01,2,0.9233128834355828,0.9141104294478528,0.8597560975609756,0.001332998275756836
Credit Approval,4,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.0014047622680664062
Credit Approval,1,0,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0006740093231201172
Credit Approval,1,0.01,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0008020401000976562
Credit Approval,1,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0012519359588623047
Credit Approval,2,0,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.001112222671508789
Credit Approval,2,0.01,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0011188983917236328
Credit Approval,2,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0012137889862060547
Credit Approval,3,0,3,0.8650306748466258,0.8220858895705522,0.8841463414634146,0.0010900497436523438
Credit Approval,3,0.01,3,0.8650306748466258,0.8220858895705522,0.8841463414634146,0.0018529891967773438
Credit Approval,3,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0012469291687011719
Credit Approval,4,0,3,0.901840490797546,0.8282208588957055,0.8719512195121951,0.0024728775024414062
Credit Approval,4,0.01,3,0.9079754601226994,0.8588957055214724,0.8902439024390244,0.002315998077392578
Credit Approval,4,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.0017888545989990234
Heart Disease,1,0,1,0.5743243243243243,0.4864864864864865,0.5466666666666666,0.0010466575622558594
Heart Disease,1,0.01,1,0.5743243243243243,0.4864864864864865,0.5466666666666666,0.0010747909545898438
Heart Disease,1,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,0.0008909702301025391
Heart Disease,2,0,1,0.6283783783783784,0.5135135135135135,0.52,0.0008900165557861328
Heart Disease,2,0.01,1,0.6283783783783784,0.5135135135135135,0.52,0.0008699893951416016
Heart Disease,2,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,0.0008728504180908203
Heart Disease,3,0,1,0.7094594594594594,0.4594594594594595,0.52,0.0007371902465820312
Heart Disease,3,0.01,1,0.7094594594594594,0.47297297297297297,0.5333333333333333,0.0009992122650146484
Heart Disease,3,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,0.0012400150299072266
Heart Disease,4,0,1,0.7432432432432432,0.4864864864864865,0.48,0.0008692741394042969
Heart Disease,4,0.01,1,0.7432432432432432,0.4864864864864865,0.48,0.000942230224609375
Heart Disease,4,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,0.0011219978332519531
Heart Disease,1,0,2,0.6081081081081081,0.5,0.4533333333333333,0.0006749629974365234
Heart Disease,1,0.01,2,0.6081081081081081,0.5,0.4533333333333333,0.0008120536804199219
Heart Disease,1,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0009629726409912109
Heart Disease,2,0,2,0.6351351351351351,0.5135135135135135,0.5466666666666666,0.0007312297821044922
Heart Disease,2,0.01,2,0.6351351351351351,0.5135135135135135,0.5466666666666666,0.0009441375732421875
Heart Disease,2,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0010502338409423828
Heart Disease,3,0,2,0.7027027027027027,0.40540540540540543,0.49333333333333335,0.0008981227874755859
Heart Disease,3,0.01,2,0.7027027027027027,0.40540540540540543,0.49333333333333335,0.0010480880737304688
Heart Disease,3,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0009322166442871094
Heart Disease,4,0,2,0.75,0.43243243243243246,0.4666666666666667,0.0009210109710693359
Heart Disease,4,0.01,2,0.75,0.43243243243243246,0.4666666666666667,0.0013439655303955078
Heart Disease,4,0.1,2,0.6081081081081081,0.5,0.4533333333333333,0.0019028186798095703
Heart Disease,1,0,3,0.5405405405405406,0.5675675675675675,0.5333333333333333,0.0006978511810302734
Heart Disease,1,0.01,3,0.5405405405405406,0.5675675675675675,0.5333333333333333,0.0010750293731689453
Heart Disease,1,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0009090900421142578
Heart Disease,2,0,3,0.5743243243243243,0.5405405405405406,0.5333333333333333,0.0008578300476074219
Heart Disease,2,0.01,3,0.5743243243243243,0.5405405405405406,0.5333333333333333,0.001024007797241211
Heart Disease,2,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0009851455688476562
Heart Disease,3,0,3,0.6486486486486487,0.5540540540540541,0.5733333333333334,0.0012028217315673828
Heart Disease,3,0.01,3,0.6486486486486487,0.5540540540540541,0.5733333333333334,0.0018990039825439453
Heart Disease,3,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0011150836944580078
Heart Disease,4,0,3,0.6824324324324325,0.5540540540540541,0.56,0.0017478466033935547
Heart Disease,4,0.01,3,0.6824324324324325,0.5540540540540541,0.56,0.0014240741729736328
Heart Disease,4,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,0.0012178421020507812
Ionosphere,1,0,1,0.88,0.7954545454545454,0.8068181818181818,0.0009491443634033203
Ionosphere,1,0.01,1,0.88,0.7954545454545454,0.8068181818181818,0.001077890396118164
Ionosphere,1,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.0010938644409179688
Ionosphere,2,0,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0013837814331054688
Ionosphere,2,0.01,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.002482891082763672
Ionosphere,2,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.001463174819946289
Ionosphere,3,0,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0020411014556884766
Ionosphere,3,0.01,1,0.9028571428571428,0.7954545454545454,0.8409090909090909,0.0019979476928710938
Ionosphere,3,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.002480030059814453
Ionosphere,4,0,1,0.92,0.75,0.8181818181818182,0.001730203628540039
Ionosphere,4,0.01,1,0.92,0.75,0.8181818181818182,0.0018229484558105469
Ionosphere,4,0.1,1,0.88,0.7954545454545454,0.8068181818181818,0.0018110275268554688
Ionosphere,1,0,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0009169578552246094
Ionosphere,1,0.01,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0010180473327636719
Ionosphere,1,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0013430118560791016
Ionosphere,2,0,2,0.9028571428571428,0.75,0.7727272727272727,0.001360177993774414
Ionosphere,2,0.01,2,0.9028571428571428,0.75,0.7727272727272727,0.0021162033081054688
Ionosphere,2,0.1,2,0.8914285714285715,0.7840909090909091,0.8068181818181818,0.0014100074768066406
Ionosphere,3,0,2,0.9028571428571428,0.75,0.7727272727272727,0.0019383430480957031
Ionosphere,3,0.01,2,0.9028571428571428,0.75,0.7727272727272727,0.001856088638305664
